tube_assembly_id|item|component|quantity
TA-00041|component_id_1|C-1420|1 
TA-00041|component_id_2|C-1421|1 
TA-00041|component_id_3|C-1850|1 
TA-00042|component_id_1|C-1420|2 
TA-00042|component_id_2|C-1421|2 
TA-00043|component_id_1|C-1642|1 
TA-00043|component_id_2|C-0023|1 
TA-00045|component_id_1|C-0024|2 
TA-00045|component_id_2|C-0025|1 
TA-00045|component_id_3|C-0026|2 
TA-00046|component_id_1|C-1233|1 
TA-00047|component_id_1|C-0448|2 
TA-00047|component_id_2|C-0449|2 
TA-00048|component_id_1|C-0444|2 
TA-00048|component_id_2|C-0445|2 
TA-00049|component_id_1|C-0444|1 
TA-00049|component_id_2|C-0445|1 
TA-00050|component_id_1|C-1243|2 
TA-00050|component_id_2|C-1244|2 
TA-00051|component_id_1|C-0027|1 
TA-00052|component_id_1|C-1536|2 
TA-00052|component_id_2|C-1625|1 
TA-00052|component_id_3|C-1632|1 
TA-00052|component_id_4|C-1642|1 
TA-00053|component_id_1|C-1621|2 
TA-00053|component_id_2|C-1628|2 
TA-00054|component_id_1|C-1621|2 
TA-00054|component_id_2|C-1628|2 
TA-00055|component_id_1|C-1623|1 
TA-00055|component_id_2|C-1630|1 
TA-00055|component_id_3|C-1647|1 
TA-00056|component_id_1|C-1623|1 
TA-00056|component_id_2|C-1630|1 
TA-00056|component_id_3|C-1647|1 
TA-00057|component_id_1|C-1625|1 
TA-00057|component_id_2|C-1632|1 
TA-00057|component_id_3|C-1642|1 
TA-00058|component_id_1|C-1312|2 
TA-00059|component_id_1|C-1780|1 
TA-00059|component_id_2|C-0013|1 
TA-00059|component_id_3|C-0032|1 
TA-00059|component_id_4|C-0033|1 
TA-00060|component_id_1|C-1312|2 
TA-00061|component_id_1|C-1312|2 
TA-00062|component_id_1|C-1621|2 
TA-00062|component_id_2|C-1628|2 
TA-00063|component_id_1|C-1621|2 
TA-00063|component_id_2|C-1628|2 
TA-00065|component_id_1|C-1767|2 
TA-00066|component_id_1|C-1565|1 
TA-00066|component_id_2|C-1724|1 
TA-00067|component_id_1|C-1941|1 
TA-00068|component_id_1|C-1555|1 
TA-00069|component_id_1|C-1374|1 
TA-00069|component_id_2|C-1369|2 
TA-00069|component_id_3|C-1375|1 
TA-00071|component_id_1|C-1817|1 
TA-00072|component_id_1|C-1345|1 
TA-00072|component_id_2|C-1502|1 
TA-00072|component_id_3|C-1970|1 
TA-00073|component_id_1|C-1355|1 
TA-00075|component_id_1|C-1312|2 
TA-00076|component_id_1|C-1312|2 
TA-00077|component_id_1|C-1312|2 
TA-00078|component_id_1|C-1312|2 
TA-00079|component_id_1|C-1312|2 
TA-00080|component_id_1|C-1312|2 
TA-00081|component_id_1|C-1312|2 
TA-00082|component_id_1|C-1312|2 
TA-00083|component_id_1|C-1312|2 
TA-00084|component_id_1|C-1312|2 
TA-00085|component_id_1|C-1312|2 
TA-00086|component_id_1|C-1312|2 
TA-00087|component_id_1|C-1312|2 
TA-00088|component_id_1|C-1312|2 
TA-00089|component_id_1|C-1312|2 
TA-00090|component_id_1|C-1312|2 
TA-00091|component_id_1|C-1312|2 
TA-00092|component_id_1|C-1312|2 
TA-00093|component_id_1|C-1312|2 
TA-00094|component_id_1|C-1312|2 
TA-00095|component_id_1|C-1312|2 
TA-00096|component_id_1|C-1312|2 
TA-00097|component_id_1|C-1621|2 
TA-00097|component_id_2|C-1628|2 
TA-00098|component_id_1|C-1538|1 
TA-00098|component_id_2|C-1625|1 
TA-00098|component_id_3|C-1632|1 
TA-00099|component_id_1|C-1993|1 
TA-00100|component_id_1|C-1621|2 
TA-00100|component_id_2|C-1628|2 
TA-00102|component_id_1|C-1845|2 
TA-00102|component_id_2|C-1846|2 
TA-00103|component_id_1|C-1521|1 
TA-00103|component_id_2|C-1831|4 
TA-00104|component_id_1|C-1622|2 
TA-00104|component_id_2|C-1629|2 
TA-00105|component_id_1|C-1670|1 
TA-00107|component_id_1|C-0441|1 
TA-00107|component_id_2|C-1420|1 
TA-00107|component_id_3|C-1421|1 
TA-00108|component_id_1|C-1625|1 
TA-00108|component_id_2|C-1632|1 
TA-00108|component_id_3|C-1842|1 
TA-00109|component_id_1|C-1625|1 
TA-00109|component_id_2|C-1632|1 
TA-00109|component_id_3|C-1842|1 
TA-00110|component_id_1|C-0038|1 
TA-00111|component_id_1|C-1585|2 
TA-00111|component_id_2|C-1598|1 
TA-00111|component_id_3|C-1759|1 
TA-00112|component_id_1|C-0055|1 
TA-00112|component_id_2|C-0056|5 
TA-00112|component_id_3|C-1845|1 
TA-00112|component_id_4|C-1846|1 
TA-00113|component_id_1|C-1620|2 
TA-00113|component_id_2|C-1627|2 
TA-00114|component_id_1|C-1845|2 
TA-00114|component_id_2|C-1846|2 
TA-00115|component_id_1|C-1845|2 
TA-00115|component_id_2|C-1846|2 
TA-00116|component_id_1|C-1845|2 
TA-00116|component_id_2|C-1846|2 
TA-00117|component_id_1|C-1420|2 
TA-00117|component_id_2|C-1421|2 
TA-00118|component_id_1|C-1622|2 
TA-00118|component_id_2|C-1629|2 
TA-00119|component_id_1|C-1621|2 
TA-00119|component_id_2|C-1628|2 
TA-00120|component_id_1|C-1621|2 
TA-00120|component_id_2|C-1628|2 
TA-00121|component_id_1|C-1621|2 
TA-00121|component_id_2|C-1628|2 
TA-00122|component_id_1|C-1621|2 
TA-00122|component_id_2|C-1628|2 
TA-00123|component_id_1|C-1624|1 
TA-00123|component_id_2|C-1631|1 
TA-00123|component_id_3|C-1641|1 
TA-00124|component_id_1|C-1312|1 
TA-00125|component_id_1|C-1625|1 
TA-00125|component_id_2|C-1632|1 
TA-00125|component_id_3|C-1642|1 
TA-00126|component_id_1|C-1624|2 
TA-00126|component_id_2|C-1631|2 
TA-00127|component_id_1|C-1621|2 
TA-00127|component_id_2|C-1628|2 
TA-00128|component_id_1|C-1638|2 
TA-00129|component_id_1|C-1620|2 
TA-00129|component_id_2|C-1627|2 
TA-00130|component_id_1|C-1620|2 
TA-00130|component_id_2|C-1627|2 
TA-00131|component_id_1|C-1625|2 
TA-00131|component_id_2|C-1632|2 
TA-00132|component_id_1|C-1624|1 
TA-00132|component_id_2|C-1631|1 
TA-00132|component_id_3|C-1641|1 
TA-00133|component_id_1|C-1624|1 
TA-00133|component_id_2|C-1631|1 
TA-00133|component_id_3|C-1641|1 
TA-00134|component_id_1|C-1624|1 
TA-00134|component_id_2|C-1631|1 
TA-00134|component_id_3|C-1641|1 
TA-00135|component_id_1|C-1817|1 
TA-00136|component_id_1|C-1621|2 
TA-00136|component_id_2|C-1628|2 
TA-00138|component_id_1|C-1750|1 
TA-00141|component_id_1|C-1468|1 
TA-00141|component_id_2|C-1474|1 
TA-00142|component_id_1|C-1476|1 
TA-00142|component_id_2|C-1481|1 
TA-00143|component_id_1|C-1882|2 
TA-00144|component_id_1|C-1717|1 
TA-00144|component_id_2|C-2016|1 
TA-00145|component_id_1|C-1312|2 
TA-00146|component_id_1|C-1312|2 
TA-00147|component_id_1|C-1312|2 
TA-00148|component_id_1|C-1312|2 
TA-00149|component_id_1|C-1312|2 
TA-00150|component_id_1|C-1312|2 
TA-00151|component_id_1|C-1532|1 
TA-00152|component_id_1|C-0468|1 
TA-00153|component_id_1|C-1621|2 
TA-00153|component_id_2|C-1628|2 
TA-00154|component_id_1|C-1625|1 
TA-00154|component_id_2|C-1635|1 
TA-00154|component_id_3|C-1644|1 
TA-00155|component_id_1|C-1625|1 
TA-00155|component_id_2|C-1635|1 
TA-00155|component_id_3|C-1644|1 
TA-00156|component_id_1|C-1845|2 
TA-00156|component_id_2|C-1846|2 
TA-00157|component_id_1|C-1649|1 
TA-00157|component_id_2|C-1909|1 
TA-00158|component_id_1|C-1647|2 
TA-00159|component_id_1|C-1625|1 
TA-00159|component_id_2|C-1632|1 
TA-00159|component_id_3|C-1642|1 
TA-00160|component_id_1|C-1647|2 
TA-00161|component_id_1|C-1621|2 
TA-00161|component_id_2|C-1628|2 
TA-00162|component_id_1|C-1476|2 
TA-00163|component_id_1|C-1243|2 
TA-00163|component_id_2|C-1244|2 
TA-00164|component_id_1|C-1243|1 
TA-00164|component_id_2|C-1244|1 
TA-00165|component_id_1|C-1355|1 
TA-00165|component_id_2|C-1563|1 
TA-00166|component_id_1|C-1925|1 
TA-00167|component_id_1|C-0444|2 
TA-00167|component_id_2|C-0445|2 
TA-00168|component_id_1|C-1474|1 
TA-00168|component_id_2|C-1596|1 
TA-00169|component_id_1|C-1845|2 
TA-00169|component_id_2|C-1846|2 
TA-00170|component_id_1|C-1218|1 
TA-00170|component_id_2|C-1647|1 
TA-00171|component_id_1|C-1644|1 
TA-00171|component_id_2|C-1908|1 
TA-00172|component_id_1|C-1644|1 
TA-00172|component_id_2|C-1908|1 
TA-00173|component_id_1|C-1624|1 
TA-00173|component_id_2|C-1647|1 
TA-00173|component_id_3|C-1654|1 
TA-00174|component_id_1|C-1625|1 
TA-00174|component_id_2|C-1632|1 
TA-00174|component_id_3|C-1649|1 
TA-00175|component_id_1|C-0448|1 
TA-00175|component_id_2|C-0449|1 
TA-00175|component_id_3|C-0061|1 
TA-00176|component_id_1|C-0448|1 
TA-00176|component_id_2|C-0449|1 
TA-00176|component_id_3|C-0061|1 
TA-00177|component_id_1|C-1312|2 
TA-00178|component_id_1|C-1420|1 
TA-00178|component_id_2|C-1421|1 
TA-00178|component_id_3|C-0045|1 
TA-00179|component_id_1|C-1620|2 
TA-00179|component_id_2|C-1627|2 
TA-00180|component_id_1|C-1638|1 
TA-00180|component_id_2|C-1645|1 
TA-00181|component_id_1|C-1468|1 
TA-00181|component_id_2|C-1480|1 
TA-00182|component_id_1|C-1475|1 
TA-00182|component_id_2|C-1476|1 
TA-00183|component_id_1|C-1477|1 
TA-00183|component_id_2|C-1483|1 
TA-00184|component_id_1|C-1623|1 
TA-00184|component_id_2|C-1630|1 
TA-00184|component_id_3|C-1640|1 
TA-00185|component_id_1|C-1623|1 
TA-00185|component_id_2|C-1630|1 
TA-00185|component_id_3|C-1640|1 
TA-00186|component_id_1|C-1845|2 
TA-00186|component_id_2|C-1846|2 
TA-00187|component_id_1|C-1620|2 
TA-00187|component_id_2|C-1627|2 
TA-00188|component_id_1|C-1312|2 
TA-00189|component_id_1|C-1312|2 
TA-00190|component_id_1|C-1312|2 
TA-00191|component_id_1|C-1312|2 
TA-00192|component_id_1|C-1312|2 
TA-00193|component_id_1|C-1621|1 
TA-00193|component_id_2|C-1628|1 
TA-00193|component_id_3|C-1681|1 
TA-00194|component_id_1|C-1647|2 
TA-00195|component_id_1|C-1647|2 
TA-00196|component_id_1|C-1647|2 
TA-00197|component_id_1|C-1647|2 
TA-00198|component_id_1|C-1345|1 
TA-00198|component_id_2|C-1502|1 
TA-00198|component_id_3|C-1970|1 
TA-00199|component_id_1|C-1845|2 
TA-00199|component_id_2|C-1846|2 
TA-00200|component_id_1|C-0448|2 
TA-00200|component_id_2|C-0449|2 
TA-00201|component_id_1|C-0444|2 
TA-00201|component_id_2|C-0445|2 
TA-00202|component_id_1|C-0444|2 
TA-00202|component_id_2|C-0445|2 
TA-00203|component_id_1|C-1621|1 
TA-00203|component_id_2|C-1628|1 
TA-00203|component_id_3|C-1638|1 
TA-00204|component_id_1|C-1623|1 
TA-00204|component_id_2|C-1630|1 
TA-00204|component_id_3|C-0063|1 
TA-00205|component_id_1|C-1625|1 
TA-00205|component_id_2|C-1632|1 
TA-00205|component_id_3|C-0237|1 
TA-00206|component_id_1|C-1420|2 
TA-00206|component_id_2|C-1421|2 
TA-00207|component_id_1|C-1420|2 
TA-00207|component_id_2|C-1421|2 
TA-00208|component_id_1|C-1420|2 
TA-00208|component_id_2|C-1421|2 
TA-00209|component_id_1|C-0448|2 
TA-00209|component_id_2|C-0449|2 
TA-00210|component_id_1|C-1420|2 
TA-00210|component_id_2|C-1421|2 
TA-00211|component_id_1|C-1420|2 
TA-00211|component_id_2|C-1421|2 
TA-00212|component_id_1|C-1420|2 
TA-00212|component_id_2|C-1421|2 
TA-00213|component_id_1|C-1420|2 
TA-00213|component_id_2|C-1421|2 
TA-00214|component_id_1|C-1420|2 
TA-00214|component_id_2|C-1421|2 
TA-00215|component_id_1|C-0448|2 
TA-00215|component_id_2|C-0449|2 
TA-00216|component_id_1|C-1420|2 
TA-00216|component_id_2|C-1421|2 
TA-00217|component_id_1|C-1460|1 
TA-00217|component_id_2|C-2018|1 
TA-00218|component_id_1|C-1845|2 
TA-00218|component_id_2|C-1846|2 
TA-00219|component_id_1|C-1845|2 
TA-00219|component_id_2|C-1846|2 
TA-00220|component_id_1|C-1475|1 
TA-00220|component_id_2|C-1476|1 
TA-00221|component_id_1|C-1623|2 
TA-00221|component_id_2|C-1630|2 
TA-00222|component_id_1|C-1621|2 
TA-00222|component_id_2|C-1628|2 
TA-00223|component_id_1|C-1623|1 
TA-00223|component_id_2|C-1630|1 
TA-00224|component_id_1|C-1621|2 
TA-00224|component_id_2|C-1628|2 
TA-00226|component_id_1|C-1622|2 
TA-00226|component_id_2|C-1629|2 
TA-00227|component_id_1|C-1620|1 
TA-00227|component_id_2|C-1624|1 
TA-00227|component_id_3|C-1627|1 
TA-00227|component_id_4|C-1657|1 
TA-00228|component_id_1|C-0448|2 
TA-00228|component_id_2|C-0449|2 
TA-00229|component_id_1|C-1925|1 
TA-00230|component_id_1|C-0448|2 
TA-00230|component_id_2|C-0449|2 
TA-00231|component_id_1|C-1625|1 
TA-00231|component_id_2|C-1632|1 
TA-00231|component_id_3|C-1649|1 
TA-00232|component_id_1|C-1642|2 
TA-00233|component_id_1|C-1622|2 
TA-00233|component_id_2|C-1629|2 
TA-00234|component_id_1|C-1621|2 
TA-00234|component_id_2|C-1628|2 
TA-00235|component_id_1|C-1622|2 
TA-00235|component_id_2|C-1629|2 
TA-00236|component_id_1|C-1625|1 
TA-00236|component_id_2|C-1632|1 
TA-00236|component_id_3|C-1649|1 
TA-00237|component_id_1|C-1623|1 
TA-00237|component_id_2|C-1630|1 
TA-00237|component_id_3|C-1647|1 
TA-00238|component_id_1|C-1420|2 
TA-00238|component_id_2|C-1421|2 
TA-00239|component_id_1|C-1420|2 
TA-00239|component_id_2|C-1421|2 
TA-00240|component_id_1|C-1555|1 
TA-00241|component_id_1|C-1243|1 
TA-00241|component_id_2|C-1244|1 
TA-00242|component_id_1|C-1243|1 
TA-00242|component_id_2|C-1244|1 
TA-00243|component_id_1|C-1243|1 
TA-00243|component_id_2|C-1244|1 
TA-00244|component_id_1|C-1243|1 
TA-00244|component_id_2|C-1244|1 
TA-00245|component_id_1|C-1620|1 
TA-00245|component_id_2|C-1621|1 
TA-00245|component_id_3|C-1627|1 
TA-00245|component_id_4|C-1661|1 
TA-00246|component_id_1|C-1620|2 
TA-00246|component_id_2|C-1627|1 
TA-00246|component_id_3|C-2035|1 
TA-00247|component_id_1|C-1243|1 
TA-00247|component_id_2|C-1244|1 
TA-00248|component_id_1|C-1621|2 
TA-00248|component_id_2|C-1628|2 
TA-00249|component_id_1|C-1536|2 
TA-00249|component_id_2|C-1642|1 
TA-00249|component_id_3|C-1649|1 
TA-00250|component_id_1|C-1670|1 
TA-00251|component_id_1|C-0444|2 
TA-00251|component_id_2|C-0445|2 
TA-00252|component_id_1|C-1247|1 
TA-00252|component_id_2|C-1429|1 
TA-00253|component_id_1|C-1247|1 
TA-00253|component_id_2|C-1429|1 
TA-00254|component_id_1|C-1420|2 
TA-00254|component_id_2|C-1421|2 
TA-00256|component_id_1|C-1312|2 
TA-00257|component_id_1|C-1312|2 
TA-00258|component_id_1|C-1312|2 
TA-00259|component_id_1|C-1312|2 
TA-00260|component_id_1|C-1312|2 
TA-00261|component_id_1|C-1312|2 
TA-00262|component_id_1|C-1312|2 
TA-00263|component_id_1|C-1312|2 
TA-00264|component_id_1|C-1312|2 
TA-00265|component_id_1|C-1312|2 
TA-00266|component_id_1|C-1851|1 
TA-00267|component_id_1|C-1851|1 
TA-00269|component_id_1|C-1670|1 
TA-00270|component_id_1|C-1623|1 
TA-00270|component_id_2|C-1630|1 
TA-00270|component_id_3|C-1647|1 
TA-00271|component_id_1|C-1623|1 
TA-00271|component_id_2|C-1630|1 
TA-00271|component_id_3|C-1647|1 
TA-00272|component_id_1|C-1620|2 
TA-00272|component_id_2|C-1627|2 
TA-00273|component_id_1|C-1622|2 
TA-00273|component_id_2|C-1629|2 
TA-00274|component_id_1|C-1622|2 
TA-00274|component_id_2|C-1629|2 
TA-00275|component_id_1|C-1724|1 
TA-00275|component_id_2|C-1735|1 
TA-00276|component_id_1|C-1845|2 
TA-00276|component_id_2|C-1846|2 
TA-00277|component_id_1|C-1670|1 
TA-00278|component_id_1|C-1817|1 
TA-00279|component_id_1|C-1621|2 
TA-00279|component_id_2|C-1628|2 
TA-00280|component_id_1|C-1357|1 
TA-00282|component_id_1|C-1420|2 
TA-00282|component_id_2|C-1421|2 
TA-00283|component_id_1|C-1243|2 
TA-00283|component_id_2|C-1244|2 
TA-00284|component_id_1|C-1845|2 
TA-00284|component_id_2|C-1846|2 
TA-00292|component_id_1|C-1621|2 
TA-00292|component_id_2|C-1628|2 
TA-00293|component_id_1|C-1621|1 
TA-00293|component_id_2|C-1628|1 
TA-00293|component_id_3|C-1638|1 
TA-00294|component_id_1|C-1621|1 
TA-00294|component_id_2|C-1628|1 
TA-00294|component_id_3|C-1638|1 
TA-00295|component_id_1|C-1621|1 
TA-00295|component_id_2|C-1628|1 
TA-00295|component_id_3|C-1638|1 
TA-00296|component_id_1|C-1621|2 
TA-00296|component_id_2|C-1628|2 
TA-00297|component_id_1|C-1621|2 
TA-00297|component_id_2|C-1628|2 
TA-00298|component_id_1|C-1621|2 
TA-00298|component_id_2|C-1628|2 
TA-00299|component_id_1|C-1621|2 
TA-00299|component_id_2|C-1628|2 
TA-00300|component_id_1|C-1733|1 
TA-00301|component_id_1|C-1624|2 
TA-00301|component_id_2|C-1631|2 
TA-00302|component_id_1|C-1624|2 
TA-00302|component_id_2|C-1631|2 
TA-00303|component_id_1|C-1420|1 
TA-00303|component_id_2|C-1421|1 
TA-00303|component_id_3|C-1850|1 
TA-00306|component_id_1|C-0444|1 
TA-00306|component_id_2|C-0445|1 
TA-00308|component_id_1|C-1624|2 
TA-00308|component_id_2|C-1631|2 
TA-00310|component_id_1|C-1621|2 
TA-00310|component_id_2|C-1628|2 
TA-00311|component_id_1|C-1312|2 
TA-00312|component_id_1|C-1621|2 
TA-00312|component_id_2|C-1628|2 
TA-00313|component_id_1|C-1621|2 
TA-00313|component_id_2|C-1628|2 
TA-00314|component_id_1|C-1621|1 
TA-00314|component_id_2|C-1628|1 
TA-00314|component_id_3|C-1638|1 
TA-00315|component_id_1|C-1621|1 
TA-00315|component_id_2|C-1628|1 
TA-00315|component_id_3|C-1638|1 
TA-00316|component_id_1|C-1845|2 
TA-00316|component_id_2|C-1846|2 
TA-00317|component_id_1|C-1622|1 
TA-00317|component_id_2|C-1629|1 
TA-00317|component_id_3|C-1639|1 
TA-00318|component_id_1|C-1622|1 
TA-00318|component_id_2|C-1629|1 
TA-00318|component_id_3|C-1639|1 
TA-00319|component_id_1|C-1621|2 
TA-00319|component_id_2|C-1628|2 
TA-00320|component_id_1|C-1625|1 
TA-00320|component_id_2|C-1635|1 
TA-00320|component_id_3|C-1877|1 
TA-00320|component_id_4|C-0037|1 
TA-00321|component_id_1|C-1625|1 
TA-00321|component_id_2|C-1635|1 
TA-00321|component_id_3|C-1877|1 
TA-00323|component_id_1|C-1621|2 
TA-00323|component_id_2|C-1628|2 
TA-00324|component_id_1|C-1845|2 
TA-00324|component_id_2|C-1846|2 
TA-00325|component_id_1|C-1845|2 
TA-00325|component_id_2|C-1846|2 
TA-00326|component_id_1|C-1845|2 
TA-00326|component_id_2|C-1846|2 
TA-00327|component_id_1|C-1420|1 
TA-00327|component_id_2|C-1421|1 
TA-00327|component_id_3|C-1956|1 
TA-00328|component_id_1|C-0444|2 
TA-00328|component_id_2|C-0445|2 
TA-00329|component_id_1|C-0448|1 
TA-00329|component_id_2|C-0449|1 
TA-00329|component_id_3|C-1735|1 
TA-00330|component_id_1|C-1817|1 
TA-00333|component_id_1|C-1625|1 
TA-00333|component_id_2|C-1632|1 
TA-00333|component_id_3|C-1642|1 
TA-00334|component_id_1|C-1622|2 
TA-00334|component_id_2|C-1629|2 
TA-00335|component_id_1|C-1622|2 
TA-00335|component_id_2|C-1629|2 
TA-00336|component_id_1|C-1622|2 
TA-00336|component_id_2|C-1629|2 
TA-00337|component_id_1|C-1621|2 
TA-00337|component_id_2|C-1628|2 
TA-00338|component_id_1|C-1621|2 
TA-00338|component_id_2|C-1628|2 
TA-00339|component_id_1|C-1622|2 
TA-00339|component_id_2|C-1629|2 
TA-00340|component_id_1|C-1420|2 
TA-00340|component_id_2|C-1421|2 
TA-00341|component_id_1|C-1243|2 
TA-00341|component_id_2|C-1244|2 
TA-00342|component_id_1|C-1845|2 
TA-00342|component_id_2|C-1846|2 
TA-00343|component_id_1|C-1781|2 
TA-00344|component_id_1|C-1781|2 
TA-00345|component_id_1|C-1701|1 
TA-00345|component_id_2|C-0072|1 
TA-00346|component_id_1|C-1704|1 
TA-00346|component_id_2|C-0072|1 
TA-00347|component_id_1|C-1781|2 
TA-00348|component_id_1|C-1625|2 
TA-00348|component_id_2|C-1632|2 
TA-00349|component_id_1|C-1625|2 
TA-00349|component_id_2|C-1632|2 
TA-00350|component_id_1|C-1535|1 
TA-00350|component_id_2|C-1626|2 
TA-00350|component_id_3|C-1633|2 
TA-00351|component_id_1|C-1624|1 
TA-00351|component_id_2|C-1631|1 
TA-00352|component_id_1|C-1621|2 
TA-00352|component_id_2|C-1628|2 
TA-00353|component_id_1|C-1621|2 
TA-00353|component_id_2|C-1628|2 
TA-00354|component_id_1|C-1420|2 
TA-00354|component_id_2|C-1421|2 
TA-00355|component_id_1|C-1641|1 
TA-00355|component_id_2|C-1848|1 
TA-00355|component_id_3|C-0001|1 
TA-00356|component_id_1|C-1420|1 
TA-00356|component_id_2|C-1421|1 
TA-00356|component_id_3|C-1640|1 
TA-00357|component_id_1|C-1420|1 
TA-00357|component_id_2|C-1421|1 
TA-00357|component_id_3|C-1716|1 
TA-00358|component_id_1|C-1420|2 
TA-00358|component_id_2|C-1421|2 
TA-00359|component_id_1|C-1624|1 
TA-00359|component_id_2|C-1639|1 
TA-00359|component_id_3|C-1655|1 
TA-00360|component_id_1|C-1624|1 
TA-00360|component_id_2|C-1639|1 
TA-00360|component_id_3|C-1655|1 
TA-00361|component_id_1|C-1624|1 
TA-00361|component_id_2|C-1639|1 
TA-00361|component_id_3|C-1655|1 
TA-00362|component_id_1|C-1639|2 
TA-00363|component_id_1|C-1639|2 
TA-00364|component_id_1|C-1638|2 
TA-00365|component_id_1|C-1638|2 
TA-00366|component_id_1|C-1639|2 
TA-00367|component_id_1|C-1621|2 
TA-00367|component_id_2|C-1628|2 
TA-00368|component_id_1|C-1621|2 
TA-00368|component_id_2|C-1628|2 
TA-00369|component_id_1|C-1621|2 
TA-00369|component_id_2|C-1628|2 
TA-00370|component_id_1|C-1845|2 
TA-00370|component_id_2|C-1846|2 
TA-00371|component_id_1|C-1845|2 
TA-00371|component_id_2|C-1846|2 
TA-00372|component_id_1|C-1208|2 
TA-00374|component_id_1|C-2043|1 
TA-00375|component_id_1|C-0448|1 
TA-00375|component_id_2|C-0449|1 
TA-00375|component_id_3|C-1565|1 
TA-00376|component_id_1|C-2043|1 
TA-00377|component_id_1|C-2043|1 
TA-00378|component_id_1|C-0473|1 
TA-00378|component_id_2|C-1208|1 
TA-00378|component_id_3|C-1317|1 
TA-00379|component_id_1|C-1622|2 
TA-00379|component_id_2|C-1629|2 
TA-00380|component_id_1|C-1622|2 
TA-00380|component_id_2|C-1629|2 
TA-00381|component_id_1|C-1625|1 
TA-00381|component_id_2|C-1632|1 
TA-00381|component_id_3|C-1649|1 
TA-00382|component_id_1|C-1626|1 
TA-00382|component_id_2|C-1633|1 
TA-00382|component_id_3|C-1650|1 
TA-00383|component_id_1|C-1624|1 
TA-00383|component_id_2|C-1647|1 
TA-00383|component_id_3|C-1654|1 
TA-00384|component_id_1|C-1625|1 
TA-00384|component_id_2|C-1632|1 
TA-00384|component_id_3|C-1649|1 
TA-00385|component_id_1|C-1626|1 
TA-00385|component_id_2|C-1633|1 
TA-00385|component_id_3|C-1650|1 
TA-00386|component_id_1|C-1620|2 
TA-00386|component_id_2|C-1627|2 
TA-00387|component_id_1|C-1621|2 
TA-00387|component_id_2|C-1628|2 
TA-00388|component_id_1|C-1230|2 
TA-00389|component_id_1|C-1230|2 
TA-00390|component_id_1|C-0036|1 
TA-00390|component_id_2|C-0062|1 
TA-00391|component_id_1|C-0062|2 
TA-00392|component_id_1|C-0036|1 
TA-00392|component_id_2|C-0062|1 
TA-00393|component_id_1|C-0036|1 
TA-00393|component_id_2|C-0062|1 
TA-00395|component_id_1|C-1625|1 
TA-00395|component_id_2|C-1632|1 
TA-00395|component_id_3|C-2001|1 
TA-00396|component_id_1|C-1622|2 
TA-00396|component_id_2|C-1629|2 
